Vendor Name,Vendor Style Number ,Style Code,UPC,WHSEDESC,Vendor Color Name,Size, S&B Pricing  , Pricing with Customer Discount  ,Customer discount + Embroidery ,Embroidery Design ,Personalization?,Department,Ordering Note,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_NVY-NAVY,619159989571,Classic Mock Wrap Scrub Top,Navy,XS, $20.99 , $15.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_NVY-NAVY,619159989588,Classic Mock Wrap Scrub Top,Navy,S, $20.99 , $15.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_NVY-NAVY,619159989595,Classic Mock Wrap Scrub Top,Navy,M, $20.99 , $15.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_NVY-NAVY,619159989601,Classic Mock Wrap Scrub Top,Navy,L, $20.99 , $15.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_NVY-NAVY,619159989618,Classic Mock Wrap Scrub Top,Navy,XL, $20.99 , $15.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_PEW-PEWTER,619159992540,Classic Mock Wrap Scrub Top,Pewter,XS, $20.99 , $15.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_PEW-PEWTER,619159992557,Classic Mock Wrap Scrub Top,Pewter,S, $20.99 , $15.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_PEW-PEWTER,619159992564,Classic Mock Wrap Scrub Top,Pewter,M, $20.99 , $15.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_PEW-PEWTER,619159992571,Classic Mock Wrap Scrub Top,Pewter,L, $20.99 , $15.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R_PEW-PEWTER,619159992588,Classic Mock Wrap Scrub Top,Pewter,XL, $20.99 , $15.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R1_NVY-NAVY,619159989625,Classic Mock Wrap Scrub Top,Navy,2X, $22.99 , $17.24 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R1_NVY-NAVY,619159989632,Classic Mock Wrap Scrub Top,Navy,3X, $22.99 , $17.24 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R1_PEW-PEWTER,619159992595,Classic Mock Wrap Scrub Top,Pewter,2X, $22.99 , $17.24 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1110,1110_R1_PEW-PEWTER,619159992601,Classic Mock Wrap Scrub Top,Pewter,3X, $22.99 , $17.24 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_P_NVY-NAVY,619159994438,Classic Women's Drawstring Scrub Pant,Navy,PXS, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_P_NVY-NAVY,619159994445,Classic Women's Drawstring Scrub Pant,Navy,PS, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_P_NVY-NAVY,619159994452,Classic Women's Drawstring Scrub Pant,Navy,PM, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_P_NVY-NAVY,619159994469,Classic Women's Drawstring Scrub Pant,Navy,PL, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_P_NVY-NAVY,619159994476,Classic Women's Drawstring Scrub Pant,Navy,PXL, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
